Name,Company Name,Telephone,"Address, City, State, and Zip",Order Dollar Amount,Order Date,Order Time,Sales Rep ID,,
Rolando Oconner,Onion Pacific Railroad,+1 (947) 381-0657,"9746 view avenue nw, murrieta, ca 92562","74,794",2/23/2013,9:16 AM,2,,
Jason Antonio,Kumatsu Motors,+1 (497) 432-8755,"3861 walnut canal, aurora, IL 60504","76,340",11/15/2013,4:27 PM,1,,
Mardell Schmitt,Acme Corp,+1 (985) 773-7455,"3837 valley row, arvada, CO 80002","69,398",1/25/2013,6:40 PM,3,,
caldwell Emanuel,SpringShield,+1 (260) 239-8565,"1545 washington loop, tallahassee, FL 32301","80,586",7/19/2013,12:44 AM,2,,
Lael Barclay,Osato Chemicals,+1 (776) 388-3785,"4999 third row, warren, MI 48089","83,998",4/10/2013,11:33 AM,1,,
Jovanni Lemay,The Queen Victoria,+1 (121) 190-7844,"5975 cherry circle, modesto, ca 95350","87,027",8/29/2013,9:08 PM,3,,
Asha Holm,Praxis Corporation,+1 (527) 906-3819,"791 hill park east, vancouver, WA 98660","94,337",2/18/2013,11:52 PM,3,,
Ardith Maki,Quark Industries,+1 (802) 942-5082,"9427 valley way east, little rock, AR 72201","58,834",2/22/2013,10:25 PM,3,,
Reta Samson,Minuteman cafe,+1 (290) 192-6817,"590 maple loop se, columbia, MO 65201","63,595",11/24/2013,9:27 PM,4,,
Chandler Mixon,Mammoth Pictures,+1 (811) 067-0581,"9826 second freeway, visalia, ca 93277","99,326",4/5/2013,4:54 AM,3,,
Evan Dahl,Oceanic Airlines,+1 (747) 874-3459,"1606 main place ne, inglewood, ca 90301","61,939",10/28/2013,4:19 AM,3,,
Sanaa Bruno,Globo Gym American Corp,+1 (060) 473-7590,"8067 washington terrace, vancouver, WA 98660","78,768",6/25/2013,2:31 AM,4,,
Shelbie Moll,Virtucon,+1 (760) 864-1656,"7125 cedar drive east, paterson, NJ 07501","77,865",10/14/2013,4:20 PM,3,,
Paulina Tran,Queen Industries,+1 (604) 702-8538,"6022 jefferson parkway, tacoma, WA 98402","59,892",6/23/2013,3:44 AM,1,,
Durwood Dugas,Thrift Bank,+1 (998) 956-3458,"9241 fourth drive west, pasadena, ca 91101","68,135",1/22/2013,6:35 PM,3,,
Kiden Mcswain,Jupiter Mining Corporation,+1 (073) 147-3481,"5651 ninth lane sw, providence, RI 02903","57,608",7/4/2013,2:34 AM,3,,
Estefania Lowman,Klimpys,+1 (906) 433-1845,"4062 spring circle, seattle, WA 98101","67,534",5/4/2013,4:37 PM,3,,
Aria Cochrane,Northern & Southern Railway,+1 (125) 161-1714,"1302 ninth drive, springfield, MO 65802","69,677",6/26/2013,1:55 PM,5,,
Cleo Nixon,Globex Corporation,+1 (719) 523-2090,"476 water terrace se, modesto, ca 95350","79,932",6/7/2013,8:30 PM,1,,
Charis Alarcon,Globex Corporation,+1 (546) 286-9999,"8805 cherry loop, roseville, ca 95661","81,576",6/8/2013,1:04 PM,3,,
Mya Rollins,Globo-Chem,+1 (494) 793-4879,"7684 elm court, berkeley, ca 94702","76,140",12/31/2013,11:23 AM,3,,
Eris Locklear,Spade and Archer,+1 (810) 064-3314,"2089 jefferson loop, gilbert, AZ 85234","89,139",11/15/2013,9:07 PM,5,,
Roxie Oswalt,Atlantic Corporation,+1 (385) 835-0880,"3669 walnut canal, fort wayne, IN 46802","96,656",3/21/2013,5:46 PM,2,,
Bliss Stoner,Queen Industries,+1 (211) 138-6588,"8457 union lane sw, burbank, ca 91501","95,597",1/5/2013,2:16 PM,3,,
Georgina Melendez,Input Inc.,+1 (626) 819-8931,"6161 walnut crescent south, rancho cucamonga, ca 91730","90,149",10/12/2013,1:33 PM,4,,
Jenaya Treadway,Atlantic Northern,+1 (898) 639-8352,"1117 seventh circle ne, amarillo, tx 79101","84,141",10/16/2013,1:21 AM,4,,
Lehana calkins,Umbrella Corporation,+1 (930) 781-2573,"9691 seventh court, new orleans, LA 70112","61,694",4/25/2013,3:27 AM,4,,
cael Bradbury,Trade Federation,+1 (430) 048-9732,"6485 pine place, simi valley, ca 93065","85,930",1/25/2013,8:52 PM,2,,
Jasmine Larsen,Zevo Toys,+1 (296) 720-2063,"6285 park cove, rochester, NY 14604","89,282",6/25/2013,2:38 AM,3,,
Rochelle Ruff,Ankh-Sto Associates,+1 (657) 020-4743,"9766 market cove west, buffalo, NY 14201","62,466",2/1/2013,4:45 PM,3,,
Nathanial Bourgeois,Water and Power,+1 (417) 859-1606,"1987 pine boulevard, philadelphia, PA 19102","58,558",7/1/2013,5:15 PM,3,,
Dutch Pollard,Universal Exports,+1 (061) 884-0300,"7355 church street, columbus, GA 31901","93,152",12/20/2013,7:40 AM,5,,
Koto Gross,Colonial Movers,+1 (180) 654-3951,"6802 union freeway nw, bakersfield, ca 93301","86,201",7/23/2013,10:49 PM,3,,
catharine Donahue,Fake Brothers,+1 (870) 788-6896,"8705 elm parkway ne, arvada, CO 80002","62,030",12/17/2013,7:55 PM,1,,
Aparajita Strickland,Widget Corp,+1 (960) 411-7071,"4870 maple circle, santa clara, ca 95050","93,414",9/13/2013,11:46 AM,3,,
Augusta Burt,ZiffCorp,+1 (562) 705-3387,"334 valley avenue, plano, tx 75023","86,717",8/11/2013,8:33 PM,4,,
Langer carr,The Drunken Clam,+1 (687) 583-0098,"2616 ninth way east, denver, CO 80202","96,026",6/20/2013,2:36 PM,5,,
Benjamin Delarosa,Demo Inc.,+1 (576) 773-1807,"7034 fifth road nw, flint, MI 48502","59,871",12/14/2013,2:14 PM,2,,
Jordan Derosa,Acme Corp,+1 (899) 110-8191,"8875 lake way, modesto, ca 95350","84,122",10/16/2013,1:04 AM,5,,
carson Haag,caliban Industries,+1 (356) 685-0664,"27 maple street, elizabeth, NJ 07201","81,274",3/5/2013,8:26 PM,2,,
Demarco Oden,Paradise Airlines,+1 (254) 384-8558,"3688 valley crescent, waco, tx 76701","92,807",9/18/2013,9:49 AM,2,,
Roscoe Batts,Hishii Industries,+1 (045) 099-7653,"2649 chestnut alley, hialeah, FL 33010","70,694",11/20/2013,6:06 PM,1,,
Laila Salter,Milliways,+1 (217) 689-2280,"5493 maple place se, phoenix, AZ 85003","63,599",8/6/2013,1:46 PM,3,,
Abbott Thorn,Powell Motors,+1 (435) 283-5215,"9011 main row, tampa, FL 33602","67,028",8/19/2013,12:52 AM,3,,
Mahon Rau,XYZ Corp,+1 (892) 208-9153,"9837 maple cove, newport news, VA 23601","81,518",4/13/2013,9:26 PM,3,,
Asa castellano,Chez Quis,+1 (018) 477-4889,"77 lincoln lane se, des moines, IA 50309","76,045",9/14/2013,11:16 AM,3,,
Kailee Robson,Crudgington Brewery,+1 (216) 933-5220,"5993 ninth place east, fresno, ca 93701","65,024",2/5/2013,7:20 AM,1,,
Nova Gragg,Bad Wolf Corporation,+1 (222) 666-8887,"2141 maple park, simi valley, ca 93065","75,000",7/22/2013,2:45 AM,1,,
Lyman Horan,TranCon Airways,+1 (985) 092-5190,"504 eighth street east, fontana, ca 92335","64,361",9/10/2013,4:49 PM,4,,
Trevor carden,Widget Corp,+1 (189) 761-9837,"7671 cedar canal, portland, OR 97201","64,534",9/28/2013,2:41 PM,4,,
Mikaela Valentine,123 Warehousing,+1 (436) 907-4425,"1395 mill boulevard, peoria, IL 61602","62,311",3/6/2013,11:39 AM,1,,
Angelita Saxton,McMahon and Tate,+1 (679) 384-2127,"2702 fourth parkway, sterling heights, MI 48310","90,065",4/2/2013,12:40 AM,1,,
Kimberley Newby,Nordyne Defense Dynamics,+1 (338) 814-7682,"441 main way east, erie, PA 16501","134,396",5/14/2014,2:05 PM,3,,
Kingsley Banda,Leeding Engines Ltd.,+1 (944) 738-0784,"1770 church road west, rochester, NY 14604","102,633",12/1/2014,1:52 PM,3,,
Rogelio Rauch,General Services Corporation,+1 (830) 444-4310,"6743 jefferson lane, topeka, KS 66603","86,413",7/21/2014,6:53 PM,3,,
Mara Barone,Tessier-Ashpool,+1 (672) 284-6331,"854 fourth freeway, minneapolis, MN 55401","129,838",1/3/2014,4:59 PM,3,,
Valentina Bayer,Ewing Oil,+1 (467) 006-2065,"8187 oak avenue, ontario, ca 91761","108,671",9/14/2014,12:53 AM,1,,
Olivia Salisbury,Sonky Rubber Goods,+1 (339) 175-6569,"7390 chestnut canal, lancaster, ca 93534","86,109",5/8/2014,12:33 AM,2,,
Lieu Walston,Corellian Engineering Corporation,+1 (182) 875-4261,"1258 elm drive, rancho cucamonga, ca 91730","127,713",1/24/2014,11:03 AM,1,,
Christopher Fleming,Atlantic Northern,+1 (570) 689-8687,"8767 market boulevard se, henderson, NV 89014","98,871",12/20/2014,2:56 AM,2,,
Ayana Yazzie,Sheinhardt Wig Company,+1 (155) 510-7418,"4554 water place north, topeka, KS 66603","69,105",7/7/2014,7:41 PM,1,,
Philomena Bigelow,SpringShield,+1 (338) 117-7687,"9285 ninth row east, alexandria, VA 22301","129,387",10/28/2014,12:39 AM,3,,
Jaydon Brantley,Northern & Southern Railway,+1 (782) 020-9106,"5196 maple cove, madison, WI 53703","71,031",7/18/2014,8:19 AM,5,,
Ellie Bruton,Blammo Corp,+1 (113) 818-9515,"1021 valley way, augusta, GA 30901","118,827",11/26/2014,4:12 PM,2,,
Charleen Welker,Sample Inc.,+1 (242) 991-8181,"5720 valley way, ann arbor, MI 48103","105,915",4/24/2014,6:15 PM,2,,
Jorden Dexter,Roboto Industries,+1 (295) 436-9873,"8127 jefferson way, fontana, ca 92335","133,904",1/3/2014,9:19 AM,2,,
Nia Novak,Liandri Mining Corporation,+1 (346) 416-2079,"6265 third place east, fort worth, tx 76102","127,305",1/22/2014,9:50 AM,3,,
Joshua Humphries,Trans American Airlines,+1 (519) 458-2118,"3223 adams drive sw, wilmington, NC 28403","70,275",8/6/2014,11:23 AM,4,,
Francisca Braden,Mainco,+1 (675) 796-8375,"4123 second street, augusta, GA 30901","129,681",8/6/2014,1:53 PM,5,,
Montego Mullis,Plow King,+1 (692) 625-0205,"4251 washington parkway se, palm bay, FL 32905","129,630",11/14/2014,9:46 AM,4,,
Wylie causey,Zevo Toys,+1 (191) 804-0290,"6649 oak court, fullerton, ca 92631","98,241",10/13/2014,11:19 PM,2,,
Jerald Bozeman,Global Dynamics,+1 (841) 882-5115,"4807 park way west, newark, NJ 07102","129,410",1/29/2014,4:13 PM,4,,
Clint Blakely,Union Aerospace Corporation,+1 (807) 058-8319,"4602 union drive, amarillo, tx 79101","97,335",11/14/2014,12:04 AM,5,,
Brianna castle,Tessier-Ashpool,+1 (122) 848-5685,"6713 fifth cove, boston, MA 02108","108,730",10/23/2014,7:31 AM,3,,
Gustave Maloney,cathedral Software,+1 (649) 867-2696,"6069 washington way, lafayette, LA 70501","136,750",11/11/2014,8:34 PM,2,,
Reva Giroux,Umbrella Corporation,+1 (581) 028-7296,"8682 park freeway, baltimore, MD 21201","80,633",6/13/2014,9:58 AM,5,,
Isis Burr,Blarg Factory,+1 (937) 062-3850,"3971 eighth street, amarillo, tx 79101","75,571",11/3/2014,9:16 AM,1,,
Marshall Stanfield,Rossum Corporation,+1 (520) 232-4347,"7420 lake place, chula vista, ca 91910","63,151",6/3/2014,12:22 PM,5,,
Raymon Bussey,BLAND Corporation,+1 (751) 208-0569,"5734 valley road, winston-salem, NC 27101","136,993",8/14/2014,5:56 PM,3,,
Virgie Hallman,Flowers By Irene,+1 (116) 850-8040,"4494 main loop sw, wichita falls, tx 76301","123,644",10/23/2014,4:04 AM,4,,
Evans Chu,NorthAm Robotics,+1 (652) 417-8841,"3827 view way east, akron, OH 44301","74,923",7/22/2014,7:53 AM,1,,
Williams Decker,Mishima Zaibatsu,+1 (140) 586-0464,"1341 union cove, phoenix, AZ 85003","119,463",3/2/2014,2:26 AM,2,,
Christine Perron,Incom Corporation,+1 (951) 315-1758,"6771 hill lane north, aurora, CO 80010","139,251",5/29/2014,12:39 AM,5,,
Raekwon Judkins,Sonky Rubber Goods,+1 (181) 087-5419,"735 chestnut circle, hayward, ca 94541","124,006",11/11/2014,8:24 AM,1,,
Raymond Allred,Galaxy Corp,+1 (847) 354-2532,"9026 church road, waterbury, CT 06706","84,686",10/29/2014,1:36 PM,1,,
Charles Milligan,General Products,+1 (241) 405-9685,"578 union park, grand rapids, MI 49503","95,955",12/28/2014,7:16 AM,3,,
Kalila Alvarado,Water and Power,+1 (799) 681-1038,"690 hill place, augusta, GA 30901","128,289",10/7/2014,9:17 AM,2,,
Aleshanee Garner,Contoso Corporation,+1 (069) 160-8687,"1235 washington street, dallas, tx 75201","124,615",3/14/2014,1:38 PM,2,,
Roma Hackney,Initrode,+1 (983) 350-8088,"6441 eighth alley, lincoln, NE 68502","62,539",11/19/2014,1:18 PM,2,,
Meris Thurston,Sonky Rubber Goods,+1 (693) 442-4263,"1169 lake parkway south, toledo, OH 43602","73,592",1/2/2014,7:03 AM,3,,
Dollie Fox,ZiffCorp,+1 (466) 312-0692,"5696 mill terrace, moreno valley, ca 92553","129,821",8/14/2014,2:55 PM,5,,
Reilly Flanagan,OmniCo,+1 (348) 544-7941,"1579 pine alley nw, little rock, AR 72201","88,614",6/17/2014,1:17 PM,3,,
Kirstie Bouchard,BLAND Corporation,+1 (717) 365-8582,"5543 mill row, murfreesboro, TN 37129","127,179",12/28/2014,1:02 AM,1,,
April caswell,Globo Gym American Corp,+1 (012) 837-9412,"4077 walnut avenue, winston-salem, NC 27101","114,804",1/21/2014,2:16 PM,2,,
Waymon Meyer,Videlectrix,+1 (574) 777-0493,"1751 seventh crescent, san jose, ca 95110","80,081",11/23/2014,8:12 AM,3,,
Bibiane Hogue,Monarch Playing card Co.,+1 (025) 414-2385,"3000 cedar row, midland, tx 79701","88,751",4/23/2014,4:53 PM,4,,
Amira Seal,CC Corporation,+1 (977) 559-1077,"9694 maple cove, pomona, ca 91767","94,694",1/23/2014,2:03 AM,3,,
Dominque Whittle,Slate Rock and Gravel Company,+1 (515) 323-2509,"5664 fourth drive, cedar rapids, IA 52401","125,041",8/10/2014,2:02 PM,3,,
Ailani Larue,Paradise Airlines,+1 (099) 591-1945,"3734 walnut place nw, birmingham, AL 35203","131,585",12/3/2014,3:55 PM,3,,
Cortez Bayne,Sonky Rubber Goods,+1 (585) 495-4556,"2586 third drive north, oceanside, ca 92054","71,249",8/24/2014,10:47 AM,4,,
Eilis Forney,InGen Corporation,+1 (688) 091-2727,"9125 oak boulevard, bridgeport, CT 06604","119,018",3/30/2014,2:51 AM,5,,
Atara Mccorkle,Trans Regional Airlines,+1 (494) 710-8552,"723 seventh circle west, billings, MT 59101","71,385",8/21/2014,4:57 AM,3,,
